#起始日期：2017-06-01 00:00:00  终止日期：2017-06-12 23:59:59												
#交易金额合计：11197笔，共4110546.80元												
#下载时间：2017-06-18 20:58:23												
												
交易时间	微信支付单号	商户订单号	商户号	特约商户号	设备号	appid	下单用户	交易场景	交易状态	支付成功时间	交易金额(元)	现金券抵扣金额(元) 
2017/6/1 6:03	"4000012001201706013616572208	"	"GH201706010602371115090757	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wdvfzGIdV8ahDjlCy6k2M0I	公众号支付	买家已支付	2017/6/1 6:03	5.5	0
2017/6/1 6:03	"4009522001201706013615564935	"	"GH201706010602561319402298	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wdFm4y9xCWFa_b3IVQt0lpM	公众号支付	买家已支付	2017/6/1 6:03	5.5	0
2017/6/1 6:03	"4008082001201706013613765287	"	"GH201706010602441244576794	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wcXrKW9_86D3wt_5cKsCXYs	公众号支付	待买家支付		7.5	0
2017/6/1 6:03	"4009682001201706013615672707	"	"GH20170601060258499237839	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wU9h-klyXoQ2L9fx_poKFzI	公众号支付	买家已支付	2017/6/1 6:03	5.5	0
2017/6/1 6:03	"4002792001201706013613734343	"	"GH201706010603082120143201	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWNoAGtNfmQneORvi8iib_U	公众号支付	买家已支付	2017/6/1 6:03	7.5	0
2017/6/1 6:04	"4008902001201706013615680469	"	"GH20170601060311327997194	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wTAHtOpzDVe9ZPzrEneQ04M	公众号支付	买家已支付	2017/6/1 6:04	5.5	0
2017/6/1 6:04	"4003242001201706013615652377	"	"GH201706010603121152127402	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wdqXfdAUbwMYwrOcNwNiU9s	公众号支付	买家已支付	2017/6/1 6:04	7.5	0
2017/6/1 6:04	"4000502001201706013616542945	"	"GH201706010603171689712794	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wQ4IBgPk-4JiSbIZQIgKH2s	公众号支付	买家已支付	2017/6/1 6:04	3.5	0
2017/6/1 6:04	"4008882001201706013615647786	"	"GH20170601060309138658509	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wbePIBBw-MrELsqaGLQxE9c	公众号支付	买家已支付	2017/6/1 6:04	3.5	0
2017/6/1 6:04	"4010142001201706013611794458	"	"GH20170601060329469548591	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wW9xuK-YYeDOS2RdM198Vo4	公众号支付	买家已支付	2017/6/1 6:04	5.5	0
2017/6/1 6:04	"4010222001201706013616550340	"	"GH201706010603331021315849	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wdIbGgqmyZpVpmAEs4SRNmw	公众号支付	买家已支付	2017/6/1 6:04	3.5	0
2017/6/1 6:04	"4006382001201706013615694247	"	"GH201706010603331665265236	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1walSThllnWAWin5q_6bxHuU	公众号支付	买家已支付	2017/6/1 6:04	7.5	0.61
2017/6/1 6:04	"4000882001201706013616602420	"	"GH20170601060405103677996	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wTUu9WqAuclRDh4_W8ud_Qs	公众号支付	买家已支付	2017/6/1 6:04	3.5	0
2017/6/1 6:04	"4007612001201706013613763734	"	"GH20170601060411149131090	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wYRdRm3MPZjPWIYzdUSirok	公众号支付	买家已支付	2017/6/1 6:04	5.5	0
2017/6/1 6:05	"4004002001201706013613783897	"	"GH20170601060416700898348	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wQ0hAOSPZFjkcofO2Am1o9k	公众号支付	买家已支付	2017/6/1 6:05	3.5	0
2017/6/1 6:05	"4000372001201706013611757890	"	"GH201706010604301864067824	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wTjv8Rf9V1ElQC5gEScG9TE	公众号支付	买家已支付	2017/6/1 6:05	5.5	0
2017/6/1 6:05	"4000502001201706013613759597	"	"GH20170601060448621572569	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wcqrznGchm_5aG5btdjQ3tg	公众号支付	买家已支付	2017/6/1 6:05	5.5	0
2017/6/1 6:05	"4000002001201706013616597096	"	"GH20170601060459268084172	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wZx9e6Ua1SrH7lQypaDfYQ8	公众号支付	买家已支付	2017/6/1 6:05	3.5	0
2017/6/1 6:05	"4008722001201706013611813266	"	"GH201706010604552074412045	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wVTOooBkSWIrfdUicRmbVmg	公众号支付	买家已支付	2017/6/1 6:05	5.5	0
2017/6/1 6:05	"4001952001201706013611788154	"	"GH201706010605041337222276	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRO6NKf7bfwhsfIpQ5L7b7Q	公众号支付	买家已支付	2017/6/1 6:05	3.5	0
2017/6/1 6:05	"4002802001201706013616612254	"	"GH20170601060501862397028	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wRd8SAy1_ZPd82G7-1CPuA8	公众号支付	买家已支付	2017/6/1 6:05	3.5	0
